id,sentence,draft_label,group_label,notes
1,We achieved a 30% reduction in scope-1 emissions compared with our 2019 baseline.,E,E,
2,The new solar installation now supplies 45% of our manufacturing site's electricity demand.,E,E,
3,Our water-recycling programme reduced freshwater withdrawal by 1.2 million cubic metres last year.,E,E,
4,We have committed to net-zero greenhouse-gas emissions across all operations by 2040.,E,E,
5,Single-use plastic packaging was eliminated from our distribution network during the reporting period.,E,E,
6,"The company planted 250,000 native trees as part of its biodiversity offset programme.",E,E,
7,Energy intensity per unit of production fell by 18% following the deployment of variable-speed drives.,E,E,
8,"We disclose scope-3 emissions across upstream transportation, business travel, and the use phase of sold products.",E,E,
9,The renewable-energy power purchase agreement signed in March covers 70% of our European electricity load.,E,E,
10,Our environmental management system is certified to ISO 14001 across all manufacturing sites.,E,E,
11,Hazardous waste sent to landfill decreased by 42% year on year.,E,E,
12,We participate in the Carbon Disclosure Project's climate-change questionnaire.,E,E,
13,The expansion of the wetland conservation area has provided habitat for 14 bird species classified as vulnerable.,E,E,
14,Methane leakage from our pipeline network is now monitored continuously by satellite.,E,E,
15,Air emissions of nitrogen oxides have been reduced by 25% since 2018 through combustion optimisation.,E,E,
16,We have set science-based targets aligned with limiting global temperature rise to 1.5 degrees Celsius.,E,E,
17,The new packaging line uses 100% recycled aluminium for all primary containers.,E,E,
18,Water-stress assessments have been completed at all sites located in regions of high baseline water stress.,E,E,
19,Our refrigerant transition programme replaced R-22 systems with low-GWP alternatives across the portfolio.,E,E,
20,"The factory's anaerobic digester converts organic waste into biogas, displacing 40% of our natural-gas demand.",E,E,
21,"Women now hold 38% of senior management positions, up from 27% three years ago.",S,S,
22,Our employee assistance programme provides free counselling and mental-health support to all staff.,S,S,
23,The supplier code of conduct prohibits child labour and forced labour throughout our supply chain.,S,S,
24,"Recordable workplace injury rates fell to 0.47 per 200,000 hours worked, the lowest in the industry.",S,S,
25,We invested 4.2 million pounds in community education and skills programmes during the reporting period.,S,S,
26,The company's living-wage commitment now covers all directly employed and contract staff.,S,S,
27,Employee turnover decreased to 8.3% following the launch of our flexible-working pilot.,S,S,
28,We conduct human-rights due diligence assessments at all tier-one supplier facilities.,S,S,
29,The diversity and inclusion training reached 96% of the workforce last year.,S,S,
30,Our customer privacy and data-protection programme is independently audited annually.,S,S,
31,Disability inclusion initiatives include accessible workplace adjustments and an internal mentoring network.,S,S,
32,We support 14 community partnership projects across the regions in which we operate.,S,S,
33,"Apprenticeship intake doubled this year, with 60% of places filled by candidates from underrepresented backgrounds.",S,S,
34,Indigenous community consultation is conducted before any new mining-exploration activity.,S,S,
35,We provide twelve weeks of fully paid parental leave to all parents regardless of gender.,S,S,
36,Health-and-safety training is mandatory for all employees at induction and renewed every two years.,S,S,
37,"The whistleblowing hotline received 47 reports, of which 38 were investigated and closed.",S,S,
